id,content,start,end,group
"main-0","1390 - St. John's Cathedral construction begins.","""1389-12-31T22:36:00.000Z""","","religion"
"main-1","1413 - Duke Janusz I of Warsaw from the Piast dyna…","""1412-12-31T22:36:00.000Z""","","politics"
"main-2","1529 - Sejm of the Kingdom of Poland held in Warsa…","""1528-12-31T22:36:00.000Z""","","politics"
"main-3","1534 - Paper mill established. [ 3 ]","""1533-12-31T22:36:00.000Z""","","other"
"main-4","1556-1557 - Sejm of the Kingdom of Poland held in …","""1555-12-31T22:36:00.000Z""","""1557-12-30T22:36:00.000Z""","politics"
"dot-4","","""1555-12-31T22:36:00.000Z""","","politics"
"main-5","1563-1564 - Sejm of the Kingdom of Poland held in …","""1562-12-31T22:36:00.000Z""","""1564-12-30T22:36:00.000Z""","politics"
"dot-5","","""1562-12-31T22:36:00.000Z""","","politics"
"main-6","1566 - Polish diet relocated to Warsaw from Kraków…","""1565-12-31T22:36:00.000Z""","","politics"
"main-7","1573 28 January: Warsaw Confederation signed. Sigi…","""1572-12-31T22:36:00.000Z""","","politics"
"main-8","1575 - Royal elections in Poland begin in nearby W…","""1574-12-31T22:36:00.000Z""","","politics"
"main-9","1578 - George Frederick, Margrave of Brandenburg-A…","""1577-12-31T22:36:00.000Z""","","other"
"main-10","1580 - Old City Hall, Warsaw rebuilt.","""1579-12-31T22:36:00.000Z""","","other"
"main-11","1596 - Polish royal court relocated to Warsaw from…","""1595-12-31T22:36:00.000Z""","","other"
"main-12","1603 - Sigismund Augustus Bridge collapses.","""1602-12-31T22:36:00.000Z""","","other"
"main-13","1611 29 October: Shuysky Tribute . 16 November: Jo…","""1610-12-31T22:36:00.000Z""","","other"
"main-14","1619 - Royal Castle rebuilt.","""1618-12-31T22:36:00.000Z""","","other"
"main-15","1621 - George William, Elector of Brandenburg paid…","""1620-12-31T22:36:00.000Z""","","other"
"main-16","1641 - Frederick William, Elector of Brandenburg p…","""1640-12-31T22:36:00.000Z""","","other"
"main-17","1643 - Warsaw Arsenal built.","""1642-12-31T22:36:00.000Z""","","other"
"main-18","1644 - Sigismund's Column erected in Castle Square…","""1643-12-31T22:36:00.000Z""","","other"
"main-19","1647 - Benefiting from Poland's tolerance, Valeria…","""1646-12-31T22:36:00.000Z""","","science"
"main-20","1648 - ""Flying Dragon"" ornithopter of Tito Livio B…","""1647-12-31T22:36:00.000Z""","","other"
"main-21","1655 - City besieged by Swedish forces. [ 11 ]","""1654-12-31T22:36:00.000Z""","","other"
"main-22","1656 - July: Battle of Warsaw (1656) . [ 6 ]","""1655-12-31T22:36:00.000Z""","","war"
"main-23","1664 - Burattini set up an astronomical observator…","""1663-12-31T22:36:00.000Z""","","other"
"main-24","1689 - Warsaw becomes capital of Poland. [ 6 ]","""1688-12-31T22:36:00.000Z""","","other"
"main-25","1702 - City taken by Swedes. [ 7 ]","""1701-12-31T22:36:00.000Z""","","other"
"main-26","1727 - Saxon Garden opens.","""1726-12-31T22:36:00.000Z""","","other"
"main-27","1747 - Załuski Library founded.","""1746-12-31T22:36:00.000Z""","","culture"
"main-28","1764 - City taken by Russians. [ 7 ]","""1763-12-31T22:36:00.000Z""","","other"
"main-29","1775 - Polish 6th Infantry Regiment stationed in W…","""1774-12-31T22:36:00.000Z""","","other"
"main-30","1780 - Polish 3rd Infantry Regiment stationed in W…","""1779-12-31T22:36:00.000Z""","","other"
"main-31","1785 - Jabłonowski Palace built.","""1784-12-31T22:36:00.000Z""","","other"
"main-32","1786 - Królikarnia completed.","""1785-12-31T22:36:00.000Z""","","other"
"main-33","1788 - Lazienki gardens laid out. [ 7 ]","""1787-12-31T22:36:00.000Z""","","other"
"main-34","1789 - Polish 11th Infantry Regiment stationed in …","""1788-12-31T22:36:00.000Z""","","other"
"main-35","1790 1st Artillery Brigade of the Polish Crown Arm…","""1789-12-31T22:36:00.000Z""","","war"
"main-36","1791 - Praga becomes part of city.","""1790-12-31T22:36:00.000Z""","","other"
"main-37","1792 Polish 9th Infantry Regiment relocated from Ł…","""1791-12-31T22:36:00.000Z""","","other"
"main-38","1794 Polish 16th, 17th, 19th and 20th Infantry Reg…","""1793-12-31T22:36:00.000Z""","","war"
"main-39","1795 - City annexed by Prussia in the Third Partit…","""1794-12-31T22:36:00.000Z""","","other"
"main-40","1804 - Warsaw Lyceum (school) established.","""1803-12-31T22:36:00.000Z""","","other"
"main-41","1806 City occupied by French forces. [ 7 ] [ 19 ] …","""1805-12-31T22:36:00.000Z""","","other"
"main-42","1807 - City becomes capital of Duchy of Warsaw . […","""1806-12-31T22:36:00.000Z""","","other"
"main-43","1809 - April-June: Austrians in power. [ 7 ]","""1808-12-31T22:36:00.000Z""","","other"
"main-44","1810 - Music School established.","""1809-12-31T22:36:00.000Z""","","other"
"main-45","1813 - 8 February: Russians in power. [ 7 ]","""1812-12-31T22:36:00.000Z""","","other"
"main-46","1815 - City becomes capital of Kingdom of Poland b…","""1814-12-31T22:36:00.000Z""","","other"
"main-47","1816 - University of Warsaw established. [ 7 ]","""1815-12-31T22:36:00.000Z""","","science"
"main-48","1819 - Museum and Institute of Zoology established…","""1818-12-31T22:36:00.000Z""","","science"
